subdomain,http_status,server_header,open_ports,cors_issues,fingerprints,takeover_risks
account.bkash.com,404,cloudflare,,,"{""server"":""cloudflare""}",
autodiscover.bkash.com,0,,,,,
bgate.bkash.com,403,cloudflare,,,"{""server"":""cloudflare""}",
bk-qep.bkash.com,0,,,,,
bkash.com,403,cloudflare,,,"{""server"":""cloudflare""}",
blockbuster.movies.bkash.com,503,awselb/2.0,,,"{""server"":""awselb/2.0""}",
blockbuster.uatmovies.bkash.com,503,awselb/2.0,,,"{""server"":""awselb/2.0""}",
business.bkash.com,403,awselb/2.0,,,"{""server"":""awselb/2.0""}",
card.bkash.com,403,awselb/2.0,,,"{""server"":""awselb/2.0""}",
ccbp-cblamex.bkash.com,0,,,,,
directcharge.payment.bkash.com,200,AmazonS3,,,"{""via"":""1.1 5fe2da41cd75eab6975741ba54093788.cloudfront.net (CloudFront)"",""server"":""AmazonS3""}",
disbursement.bkash.com,200,cloudflare,,,"{""server"":""cloudflare""}",
exoos.bkash.com,0,,,,,
fold.bkash.com,200,,,,"{""framework"":""angular"",""x-request-id"":""8479dbdb-edca-4086-9e7d-80cd861cb544""}",
geo.bkash.com,200,cloudflare,,,"{""server"":""cloudflare"",""framework"":""react""}",
gw.bkash.com,0,,,,,
im.bkash.com,0,,,,,
livechat.bkash.com,403,cloudflare,,,"{""server"":""cloudflare""}",
lyncdiscover.bkash.com,530,cloudflare,,,"{""server"":""cloudflare""}",
mail.bkash.com,0,,,,,
merchantportal.bkash.com,200,AmazonS3,,Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed,"{""via"":""1.1 c8c5e71490234633b0d4ae4c90bcdffc.cloudfront.net (CloudFront)"",""server"":""AmazonS3""}",
mta-sts.bkash.com,403,AmazonS3,,,"{""server"":""AmazonS3"",""via"":""1.1 ed56247dd32d1f3f77d72a82c840f500.cloudfront.net (CloudFront)""}",
partner.bkash.com,404,cloudflare,,,"{""server"":""cloudflare""}",
partnerportal.bkash.com,403,awselb/2.0,,,"{""server"":""awselb/2.0""}",
pay.bkash.com,403,cloudflare,,,"{""server"":""cloudflare""}",
payment.bkash.com,200,AmazonS3,,Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed,"{""via"":""1.1 e1f7f1bd7c671d3508484a5dad861b02.cloudfront.net (CloudFront)"",""server"":""AmazonS3""}",
pgw-integration.bkash.com,200,AmazonS3,,Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed,"{""via"":""1.1 9fae5cd98a236bdb4e2b40f2f59b973a.cloudfront.net (CloudFront)"",""server"":""AmazonS3""}",
ref.bkash.com,200,cloudflare,,,"{""server"":""cloudflare"",""framework"":""laravel""}",
rms.bkash.com,200,cloudflare,,,"{""server"":""cloudflare""}",
sandboxdc.payment.bkash.com,200,AmazonS3,,,"{""server"":""AmazonS3"",""via"":""1.1 63029416ff7e6564b60cc4654c08f6aa.cloudfront.net (CloudFront)""}",
shop.bkash.com,403,awselb/2.0,,,"{""server"":""awselb/2.0""}",
sip.bkash.com,530,cloudflare,,,"{""server"":""cloudflare""}",
support.pgw-int.bkash.com,200,AmazonS3,,Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed,"{""via"":""1.1 66fe8f594ac3907219c3dc35e9d6a374.cloudfront.net (CloudFront)"",""server"":""AmazonS3""}",
uat-ccbp-cblamex.bkash.com,0,,,,,
uatbusiness.bkash.com,403,awselb/2.0,,,"{""server"":""awselb/2.0""}",
uatcard.bkash.com,404,,,,,
uatgeo.bkash.com,503,awselb/2.0,,,"{""server"":""awselb/2.0""}",
uatmerchantportal.bkash.com,200,AmazonS3,,Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed,"{""via"":""1.1 078c862eff9e1f1f2de4a6d8b9a40a6c.cloudfront.net (CloudFront)"",""server"":""AmazonS3""}",
uatpartnerportal.bkash.com,403,awselb/2.0,,,"{""server"":""awselb/2.0""}",
uatshop.bkash.com,403,awselb/2.0,,,"{""server"":""awselb/2.0""}",
visacard.bkash.com,403,awselb/2.0,,,"{""server"":""awselb/2.0""}",
webmail.bkash.com,0,,,,,
