subdomain,http_status,server_header,open_ports,cors_issues,fingerprints,takeover_risks
api.canva.com,404,cloudflare,,,"{""x-request-id"":""97c09078498db258"",""server"":""cloudflare""}",
b2bevents.canva.com,200,cloudflare,,,"{""server"":""cloudflare""}",
button-demo.canva.com,403,cloudflare,,,"{""server"":""cloudflare""}",
canva.com,403,cloudflare,,,"{""server"":""cloudflare""}",
capi.cse.canva.com,0,,,,,
create-stg.canva.com,200,cloudflare,,,"{""server"":""cloudflare""}",
create.canva.com,200,cloudflare,,,"{""server"":""cloudflare""}",
creator.canva.com,404,,,,"{""via"":""1.1 google""}",
ct.canva.com,400,,,,"{""via"":""1.1 google""}",
docs.developer.canva.com,200,cloudflare,,,"{""server"":""cloudflare""}",
events.canva.com,403,cloudflare,,,"{""server"":""cloudflare"",""via"":""1.1 varnish, 1.1 varnish""}",
go.canva.com,403,cloudflare,,,"{""server"":""cloudflare""}",
go.edu.canva.com,403,cloudflare,,,"{""server"":""cloudflare""}",
l.create.canva.com,403,cloudflare,,,"{""server"":""cloudflare""}",
l.engage.canva.com,403,cloudflare,,,"{""server"":""cloudflare""}",
l.support.canva.com,403,cloudflare,,,"{""server"":""cloudflare""}",
link.recruitment.canva.com,404,,,,,
movable-ink.canva.com,200,,,,"{""via"":""1.1 95a64b916cc7062be796d476a3fd8d74.cloudfront.net (CloudFront)""}",
partner.canva.com,404,,,,"{""via"":""1.1 google""}",
resources.canva.com,200,sfdcedge,,,"{""server"":""sfdcedge"",""x-request-id"":""507ba11913056f8b613d83a4f5d1345f""}",
sales.canva.com,204,,,,,
support.canva.com,403,cloudflare,,,"{""server"":""cloudflare""}",
telemetry.canva.com,404,cloudflare,,,"{""server"":""cloudflare""}",
tracking.canva.com,200,cloudflare,,Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed; Wildcard CORS allowed,"{""server"":""cloudflare"",""framework"":""react"",""via"":""1.1 google""}",
